Date,Open,High,Low,Close,Adj Close,Volume,Day,Day of the week
2/21/2014,1.6,1.61,1.51,1.51,1.51,325500,6,Friday
2/24/2014,1.56,1.62,1.52,1.54,1.54,211900,2,Monday
2/25/2014,1.52,1.53,1.48,1.5,1.5,270700,3,Tuesday
2/26/2014,1.48,1.5,1.47,1.49,1.49,91800,4,Wednesday
2/27/2014,1.5,1.51,1.47,1.49,1.49,84000,5,Thursday
2/28/2014,1.47,1.48,0.96,1,1,1925100,6,Friday
3/3/2014,1,1.02,0.81,0.84,0.84,3078700,2,Monday
3/4/2014,0.87,1.01,0.8,0.98,0.98,1258600,3,Tuesday
3/5/2014,0.99,1,0.93,0.99,0.99,510200,4,Wednesday
3/6/2014,0.96,1.02,0.96,0.97,0.97,354600,5,Thursday
3/7/2014,0.97,0.98,0.93,0.95,0.95,201100,6,Friday
3/10/2014,0.96,0.98,0.92,0.95,0.95,236200,2,Monday
3/11/2014,0.94,0.96,0.91,0.91,0.91,273400,3,Tuesday
3/12/2014,0.92,0.96,0.91,0.94,0.94,363000,4,Wednesday
3/13/2014,0.94,0.98,0.9,0.98,0.98,253900,5,Thursday
3/14/2014,0.99,1,0.94,0.98,0.98,142400,6,Friday
3/17/2014,0.96,1.04,0.96,0.97,0.97,476100,2,Monday
3/18/2014,0.96,0.99,0.95,0.95,0.95,109600,3,Tuesday
3/19/2014,0.95,0.97,0.91,0.92,0.92,141600,4,Wednesday
3/20/2014,0.93,0.95,0.91,0.93,0.93,105000,5,Thursday
3/21/2014,0.93,1.1,0.93,1.1,1.1,539700,6,Friday
3/24/2014,1.08,1.08,0.95,0.97,0.97,408700,2,Monday
3/25/2014,0.97,1.02,0.95,1,1,148600,3,Tuesday
3/26/2014,1,1,0.96,0.96,0.96,86100,4,Wednesday
3/27/2014,0.96,0.99,0.96,0.97,0.97,101800,5,Thursday
3/28/2014,0.97,1.01,0.95,0.97,0.97,39400,6,Friday
3/31/2014,1,1.01,0.97,0.98,0.98,281900,2,Monday
4/1/2014,1,1,0.97,1,1,59500,3,Tuesday
4/2/2014,1,1.01,0.98,0.99,0.99,154400,4,Wednesday
4/3/2014,0.99,0.99,0.95,0.95,0.95,76000,5,Thursday
4/4/2014,0.97,0.97,0.95,0.95,0.95,57500,6,Friday
4/7/2014,0.94,0.94,0.87,0.88,0.88,672500,2,Monday
4/8/2014,0.88,0.92,0.86,0.9,0.9,163900,3,Tuesday
4/9/2014,0.87,0.91,0.85,0.87,0.87,133700,4,Wednesday
4/10/2014,0.86,0.86,0.82,0.83,0.83,259000,5,Thursday
4/11/2014,0.83,0.85,0.81,0.83,0.83,194000,6,Friday
4/14/2014,0.82,0.84,0.76,0.77,0.77,295000,2,Monday
4/15/2014,0.76,0.8,0.75,0.77,0.77,247700,3,Tuesday
4/16/2014,0.78,0.8,0.76,0.78,0.78,115600,4,Wednesday
4/17/2014,0.79,0.85,0.77,0.85,0.85,121300,5,Thursday
4/21/2014,0.85,0.86,0.81,0.83,0.83,66100,2,Monday
4/22/2014,0.82,0.84,0.81,0.84,0.84,87500,3,Tuesday
4/23/2014,0.83,0.85,0.81,0.85,0.85,48800,4,Wednesday
4/24/2014,0.84,0.85,0.81,0.82,0.82,46500,5,Thursday
4/25/2014,0.82,0.82,0.79,0.8,0.8,60300,6,Friday
4/28/2014,0.8,0.83,0.79,0.79,0.79,38900,2,Monday
